scenario,case_id,probability,outcome,group,intersectional_group
baseline,B001,0.88,1,A,A_mobile
baseline,B002,0.82,1,A,A_desktop
baseline,B003,0.78,1,A,A_mobile
baseline,B004,0.74,1,A,A_desktop
baseline,B005,0.69,1,A,A_mobile
baseline,B006,0.64,1,A,A_desktop
baseline,B007,0.58,1,A,A_mobile
baseline,B008,0.53,1,A,A_desktop
baseline,B009,0.46,0,A,A_mobile
baseline,B010,0.41,0,A,A_desktop
baseline,B011,0.36,0,A,A_mobile
baseline,B012,0.31,0,A,A_desktop
baseline,B013,0.27,0,A,A_mobile
baseline,B014,0.22,0,A,A_desktop
baseline,B015,0.17,0,A,A_mobile
baseline,B016,0.12,0,A,A_desktop
baseline,B017,0.76,1,B,B_mobile
baseline,B018,0.70,1,B,B_desktop
baseline,B019,0.64,1,B,B_mobile
baseline,B020,0.58,1,B,B_desktop
baseline,B021,0.49,1,B,B_mobile
baseline,B022,0.45,1,B,B_desktop
baseline,B023,0.40,1,B,B_mobile
baseline,B024,0.34,1,B,B_desktop
baseline,B025,0.61,0,B,B_mobile
baseline,B026,0.54,0,B,B_desktop
baseline,B027,0.47,0,B,B_mobile
baseline,B028,0.43,0,B,B_desktop
baseline,B029,0.38,0,B,B_mobile
baseline,B030,0.32,0,B,B_desktop
baseline,B031,0.27,0,B,B_mobile
baseline,B032,0.21,0,B,B_desktop
baseline,B033,0.83,1,C,C_mobile
baseline,B034,0.77,1,C,C_desktop
baseline,B035,0.71,1,C,C_mobile
baseline,B036,0.66,1,C,C_desktop
baseline,B037,0.60,1,C,C_mobile
baseline,B038,0.55,1,C,C_desktop
baseline,B039,0.51,1,C,C_mobile
baseline,B040,0.46,1,C,C_desktop
baseline,B041,0.52,0,C,C_mobile
baseline,B042,0.49,0,C,C_desktop
baseline,B043,0.44,0,C,C_mobile
baseline,B044,0.39,0,C,C_desktop
baseline,B045,0.34,0,C,C_mobile
baseline,B046,0.28,0,C,C_desktop
baseline,B047,0.23,0,C,C_mobile
baseline,B048,0.18,0,C,C_desktop
shifted,S001,0.88,1,A,A_mobile
shifted,S002,0.82,1,A,A_desktop
shifted,S003,0.78,1,A,A_mobile
shifted,S004,0.74,1,A,A_desktop
shifted,S005,0.69,1,A,A_mobile
shifted,S006,0.64,1,A,A_desktop
shifted,S007,0.58,1,A,A_mobile
shifted,S008,0.53,1,A,A_desktop
shifted,S009,0.46,0,A,A_mobile
shifted,S010,0.41,0,A,A_desktop
shifted,S011,0.36,0,A,A_mobile
shifted,S012,0.31,0,A,A_desktop
shifted,S013,0.27,0,A,A_mobile
shifted,S014,0.22,0,A,A_desktop
shifted,S015,0.17,0,A,A_mobile
shifted,S016,0.12,0,A,A_desktop
shifted,S017,0.64,1,B,B_mobile
shifted,S018,0.58,1,B,B_desktop
shifted,S019,0.52,1,B,B_mobile
shifted,S020,0.46,1,B,B_desktop
shifted,S021,0.37,1,B,B_mobile
shifted,S022,0.33,1,B,B_desktop
shifted,S023,0.28,1,B,B_mobile
shifted,S024,0.22,1,B,B_desktop
shifted,S025,0.71,0,B,B_mobile
shifted,S026,0.64,0,B,B_desktop
shifted,S027,0.57,0,B,B_mobile
shifted,S028,0.53,0,B,B_desktop
shifted,S029,0.48,0,B,B_mobile
shifted,S030,0.42,0,B,B_desktop
shifted,S031,0.37,0,B,B_mobile
shifted,S032,0.31,0,B,B_desktop
shifted,S033,0.78,1,C,C_mobile
shifted,S034,0.72,1,C,C_desktop
shifted,S035,0.66,1,C,C_mobile
shifted,S036,0.61,1,C,C_desktop
shifted,S037,0.55,1,C,C_mobile
shifted,S038,0.50,1,C,C_desktop
shifted,S039,0.46,1,C,C_mobile
shifted,S040,0.41,1,C,C_desktop
shifted,S041,0.56,0,C,C_mobile
shifted,S042,0.53,0,C,C_desktop
shifted,S043,0.48,0,C,C_mobile
shifted,S044,0.43,0,C,C_desktop
shifted,S045,0.38,0,C,C_mobile
shifted,S046,0.32,0,C,C_desktop
shifted,S047,0.27,0,C,C_mobile
shifted,S048,0.22,0,C,C_desktop
